Quiz titles in app order (deterministic shuffle with seed 42):
============================================================

  1. TOP 10 des transferts les plus coûteux entrants entre 2015-2020 (Ligue 1) (Palier 1, Position 1, Difficulté 1)
  2. TOP 10 des transferts les plus coûteux sortants entre 2010-2015 (Bundesliga) (Palier 1, Position 2, Difficulté 1)
  3. TOP 10 des buteurs de Ligue 1 en 2024 (Palier 1, Position 3, Difficulté 1)
  4. TOP 10 des passeurs de Liga entre 2024 (Palier 1, Position 4, Difficulté 1)
  5. TOP 10 des buteurs de Liga en 2022 (Palier 1, Position 5, Difficulté 1)
  6. TOP 10 des transferts les plus coûteux en 2023 (Premier League) (Palier 2, Position 1, Difficulté 1)
  7. TOP 10 des transferts les plus coûteux en 2023 (Bundesliga) (Palier 2, Position 2, Difficulté 1)
  8. TOP 10 du Ballon d'Or 2017 (Palier 2, Position 3, Difficulté 1)
  9. TOP 10 des joueurs france les plus prolifiques (buts+passes) entre 2015-2020 (Palier 2, Position 4, Difficulté 1)
 10. TOP 10 des transferts les plus coûteux entrants entre 2015-2020 (Serie A) (Palier 2, Position 5, Difficulté 1)
 11. TOP 10 du Ballon d'Or 2023 (Palier 3, Position 1, Difficulté 1)
 12. TOP 10 des buteurs de Liga entre 2020-2024 (Palier 3, Position 2, Difficulté 1)
 13. TOP 10 du Ballon d'Or 2016 (Palier 3, Position 3, Difficulté 1)
 14. TOP 10 des passeurs de Serie A entre 2024 (Palier 3, Position 4, Difficulté 1)
 15. TOP 10 des buteurs de la Copa América 2024 (Palier 3, Position 5, Difficulté 1)
 16. TOP 10 des joueurs avec le plus de minutes de PSG entre 2023 (Palier 4, Position 1, Difficulté 1)
 17. TOP 10 des transferts les plus coûteux sortants entre 2020-2024 (Bundesliga) (Palier 4, Position 2, Difficulté 1)
 18. TOP 10 des transferts les plus coûteux entrants entre 2015-2020 (Liga) (Palier 4, Position 3, Difficulté 1)
 19. TOP 10 des transferts les plus coûteux sortants entre 2020-2024 (Premier League) (Palier 4, Position 4, Difficulté 1)
 20. TOP 10 des transferts les plus coûteux sortants entre 2015-2020 (Ligue 1) (Palier 4, Position 5, Difficulté 1)
 21. TOP 10 des transferts les plus coûteux entrants entre 2020-2024 (Premier League) (Palier 5, Position 1, Difficulté 1)
 22. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Liga entre 2024 (Palier 5, Position 2, Difficulté 1)
 23. TOP 10 des transferts les plus coûteux entrants entre 2010-2015 (Ligue 1) (Palier 5, Position 3, Difficulté 1)
 24. TOP 10 des buteurs de Liga en 2023 (Palier 5, Position 4, Difficulté 1)
 25. TOP 10 des buteurs de Man Utd entre 2020-2024 (Palier 5, Position 5, Difficulté 1)
 26. TOP 10 des passeurs de Premier League entre 2022 (Palier 6, Position 1, Difficulté 1)
 27. TOP 10 des passeurs de Bayern Munich entre 2020-2024 (Palier 6, Position 2, Difficulté 1)
 28. TOP 10 des transferts les plus coûteux entrants entre 2020-2024 (Liga) (Palier 6, Position 3, Difficulté 1)
 29. TOP 10 des transferts les plus coûteux entrants entre 2015-2020 (Bundesliga) (Palier 6, Position 4, Difficulté 1)
 30. TOP 10 des joueurs portugal les plus prolifiques (buts+passes) entre 2015-2020 (Palier 6, Position 5, Difficulté 1)
 31. TOP 10 des transferts les plus coûteux entrants entre 2010-2015 (Liga) (Palier 7, Position 1, Difficulté 1)
 32. TOP 10 des joueurs avec le plus de minutes de Liverpool entre 2023 (Palier 7, Position 2, Difficulté 1)
 33. TOP 10 des buteurs de Real Madrid entre 2020-2024 (Palier 7, Position 3, Difficulté 1)
 34. TOP 10 des buteurs de Bundesliga en 2024 (Palier 7, Position 4, Difficulté 1)
 35. TOP 10 des passeurs de Serie A entre 2023 (Palier 7, Position 5, Difficulté 1)
 36. TOP 10 des passeurs de Premier League entre 2020-2024 (Palier 8, Position 1, Difficulté 1)
 37. TOP 10 des transferts les plus coûteux en 2024 (Ligue 1) (Palier 8, Position 2, Difficulté 1)
 38. TOP 10 des transferts les plus coûteux en 2022 (Bundesliga) (Palier 8, Position 3, Difficulté 1)
 39. TOP 10 du Ballon d'Or 2022 (Palier 8, Position 4, Difficulté 1)
 40. TOP 10 des buteurs de la Coupe du Monde 2018 (Palier 8, Position 5, Difficulté 1)
 41. TOP 10 des transferts les plus coûteux en 2022 (Ligue 1) (Palier 9, Position 1, Difficulté 1)
 42. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Premier League entre 2024 (Palier 9, Position 2, Difficulté 1)
 43. TOP 10 du Ballon d'Or 2019 (Palier 9, Position 3, Difficulté 1)
 44. TOP 10 des joueurs avec le plus de minutes de Inter Milan entre 2024 (Palier 9, Position 4, Difficulté 1)
 45. TOP 10 des passeurs de Ligue 1 entre 2024 (Palier 9, Position 5, Difficulté 1)
 46. TOP 10 des transferts les plus coûteux en 2022 (Serie A) (Palier 10, Position 1, Difficulté 1)
 47. TOP 10 des passeurs de Ligue 1 entre 2023 (Palier 10, Position 2, Difficulté 1)
 48. TOP 10 des transferts les plus coûteux entrants entre 2010-2015 (Bundesliga) (Palier 10, Position 3, Difficulté 1)
 49. TOP 10 des transferts les plus coûteux en 2023 (Ligue 1) (Palier 10, Position 4, Difficulté 1)
 50. TOP 10 des transferts les plus coûteux sortants entre 2015-2020 (Bundesliga) (Palier 10, Position 5, Difficulté 1)
 51. TOP 10 des joueurs avec le plus de minutes de Chelsea entre 2023 (Palier 11, Position 1, Difficulté 1)
 52. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Premier League entre 2023 (Palier 11, Position 2, Difficulté 1)
 53. TOP 10 des buteurs de Premier League en 2023 (Palier 11, Position 3, Difficulté 1)
 54. TOP 10 des buteurs de Chelsea entre 2020-2024 (Palier 11, Position 4, Difficulté 1)
 55. TOP 10 des passeurs de Chelsea entre 2020-2024 (Palier 11, Position 5, Difficulté 1)
 56. TOP 10 des passeurs de Barcelona entre 2020-2024 (Palier 12, Position 1, Difficulté 1)
 57. TOP 10 des buteurs portugal dans les grands clubs européens entre 2020-2024 (Palier 12, Position 2, Difficulté 1)
 58. TOP 10 des passeurs de Inter Milan entre 2020-2024 (Palier 12, Position 3, Difficulté 1)
 59. TOP 10 des joueurs avec le plus de minutes de Real Madrid entre 2023 (Palier 12, Position 4, Difficulté 1)
 60. TOP 10 des joueurs avec le plus de minutes de Man City entre 2023 (Palier 12, Position 5, Difficulté 1)
 61. TOP 10 des transferts les plus coûteux en 2022 (Premier League) (Palier 13, Position 1, Difficulté 1)
 62. TOP 10 des passeurs de Liverpool entre 2020-2024 (Palier 13, Position 2, Difficulté 1)
 63. TOP 10 du Ballon d'Or 2018 (Palier 13, Position 3, Difficulté 1)
 64. TOP 10 des joueurs avec le plus de minutes de Man Utd entre 2024 (Palier 13, Position 4, Difficulté 1)
 65. TOP 10 des buteurs france dans les grands clubs européens entre 2015-2020 (Palier 13, Position 5, Difficulté 1)
 66. TOP 10 des transferts les plus coûteux sortants entre 2015-2020 (Serie A) (Palier 14, Position 1, Difficulté 1)
 67. TOP 10 des joueurs avec le plus de minutes de Barcelona entre 2024 (Palier 14, Position 2, Difficulté 1)
 68. TOP 10 des joueurs avec le plus de minutes de Inter Milan entre 2023 (Palier 14, Position 3, Difficulté 1)
 69. TOP 10 des transferts les plus coûteux en 2024 (Serie A) (Palier 14, Position 4, Difficulté 1)
 70. TOP 10 des joueurs avec le plus de minutes de Chelsea entre 2024 (Palier 14, Position 5, Difficulté 1)
 71. TOP 10 des joueurs avec le plus de minutes de Man Utd entre 2023 (Palier 15, Position 1, Difficulté 1)
 72. TOP 10 des buteurs de Liverpool entre 2020-2024 (Palier 15, Position 2, Difficulté 1)
 73. TOP 10 des joueurs avec le plus de minutes de Bayern Munich entre 2023 (Palier 15, Position 3, Difficulté 1)
 74. TOP 10 des joueurs avec le plus de minutes de Barcelona entre 2023 (Palier 15, Position 4, Difficulté 1)
 75. TOP 10 des transferts les plus coûteux sortants entre 2010-2015 (Ligue 1) (Palier 15, Position 5, Difficulté 1)
 76. TOP 10 des transferts les plus coûteux sortants entre 2020-2024 (Serie A) (Palier 16, Position 1, Difficulté 1)
 77. TOP 10 des buteurs de Premier League entre 2020-2024 (Palier 16, Position 2, Difficulté 1)
 78. TOP 10 des transferts les plus coûteux en 2024 (Liga) (Palier 16, Position 3, Difficulté 1)
 79. TOP 10 des buteurs de Inter Milan entre 2020-2024 (Palier 16, Position 4, Difficulté 1)
 80. TOP 10 des passeurs de Real Madrid entre 2020-2024 (Palier 16, Position 5, Difficulté 1)
 81. TOP 10 des joueurs avec le plus de minutes de Arsenal entre 2024 (Palier 17, Position 1, Difficulté 1)
 82. TOP 10 des joueurs avec le plus de minutes de Arsenal entre 2023 (Palier 17, Position 2, Difficulté 1)
 83. TOP 10 des passeurs de Arsenal entre 2020-2024 (Palier 17, Position 3, Difficulté 1)
 84. TOP 10 des buteurs de Bundesliga en 2023 (Palier 17, Position 4, Difficulté 1)
 85. TOP 10 des passeurs de Liga entre 2023 (Palier 17, Position 5, Difficulté 1)
